t,n_alive,new_deaths,cum_deaths,pregnancy.pregnancies,pregnancy.births,pregnancy.cbr,deaths.new,deaths.cumulative,deaths.cmr,hiv.n_on_art,hiv.n_susceptible,hiv.n_infected,hiv.prevalence,hiv.new_infections,hiv.cum_infections,hiv.new_deaths,hiv.Agent10_cd4,hiv.Agent10_V_level,hiv.Agent11_cd4,hiv.Agent11_V_level
1990.605479452046,10088793.7892,998.0999,85836.5914,998.0999,0.0,0.0,998.0999,63878.39360000004,9.893153937475267e-05,0.0,9123631.1859,965162.6033000001,0.09566679857538583,0.0,995105.6003,0,500,0,100,0
1990.6082191780733,10088793.7892,0.0,86834.6913,0.0,0.0,0.0,0.0,63878.39360000004,0.0,0.0,9123631.1859,965162.6033000001,0.09566679857538583,0.0,995105.6003,0,500,0,100,0
1990.6109589041007,10090789.989,0.0,86834.6913,1996.1998,0.0,0.0,0.0,63878.39360000004,0.0,0.0,9125627.3857,965162.6033000001,0.09564787339268051,0.0,995105.6003,0,500,0,100,0
1990.613698630128,10090789.989,998.0999,86834.6913,998.0999,0.0,0.0,0.0,63878.39360000004,0.0,0.0,9126625.4856,964164.5034,0.09554896142433235,0.0,995105.6003,1,500,0,100,0
1990.6164383561554,10090789.989,0.0,87832.7912,0.0,0.0,0.0,0.0,63878.39360000004,0.0,0.0,9126625.4856,964164.5034,0.09554896142433235,0.0,995105.6003,0,500,0,100,0
1990.6191780821828,10090789.989,998.0999,87832.7912,998.0999,0.0,0.0,0.0,63878.39360000004,0.0,0.0,9127623.5855,963166.4035,0.09545004945598418,0.0,995105.6003,1,500,0,100,0
1990.6219178082101,10091788.0889,0.0,88830.89110000001,998.0999,0.0,0.0,0.0,63878.39360000004,0.0,0.0,9128621.6854,963166.4035,0.09544060923746414,0.0,995105.6003,0,500,0,100,0
1990.6246575342375,10092786.1888,0.0,88830.89110000001,998.0999,0.0,0.0,0.0,63878.39360000004,0.0,0.0,9129619.7853,963166.4035,0.09543117088607594,0.0,995105.6003,0,500,0,100,0
1990.6273972602648,10093784.288700001,0.0,88830.89110000001,998.0999,0.0,0.0,0.0,63878.39360000004,0.0,0.0,9130617.885200001,963166.4035,0.0954217344012657,0.0,995105.6003,0,500,0,100,0
1990.6301369862922,10093784.288700001,998.0999,88830.89110000001,998.0999,0.0,0.0,0.0,63878.39360000004,0.0,0.0,9131615.985100001,962168.3036000001,0.09532285177494314,0.0,995105.6003,1,500,0,100,0
1990.6328767123196,10093784.288700001,0.0,89828.99100000001,0.0,0.0,0.0,0.0,63878.39360000004,0.0,0.0,9131615.985100001,962168.3036000001,0.09532285177494314,0.0,995105.6003,0,500,0,100,0
1990.635616438347,10093784.288700001,0.0,89828.99100000001,0.0,0.0,0.0,0.0,63878.39360000004,0.0,0.0,9131615.985100001,962168.3036000001,0.09532285177494314,0.0,995105.6003,0,500,0,100,0
1990.6383561643743,10094782.388600001,998.0999,89828.99100000001,1996.1998,0.0,0.0,998.0999,64876.49350000004,9.887284951552303e-05,0.0,9132614.085,962168.3036000001,0.09531342693296421,0.0,995105.6003,0,500,0,100,0
1990.6410958904016,10094782.388600001,0.0,90827.09090000001,0.0,0.0,0.0,0.0,64876.49350000004,0.0,0.0,9132614.085,962168.3036000001,0.09531342693296421,0.0,995105.6003,0,500,0,100,0
1990.643835616429,10095780.4885,998.0999,90827.09090000001,1996.1998,0.0,0.0,998.0999,65874.59340000004,9.886307464162135e-05,0.0,9133612.1849,962168.3036000001,0.09530400395452299,0.0,995105.6003,0,500,0,100,0
1990.6465753424563,10097776.6883,0.0,91825.19080000001,1996.1998,0.0,0.0,0.0,65874.59340000004,0.0,0.0,9135608.3847,962168.3036000001,0.09528516358604329,0.0,995105.6003,0,500,0,100,0
1990.6493150684837,10099772.8881,998.0999,91825.19080000001,2994.2997,0.0,0.0,998.0999,66872.69330000004,9.882399446585631e-05,0.0,9137604.5845,962168.3036000001,0.09526633066508548,0.0,995105.6003,0,500,0,100,0
1990.652054794511,10100770.988,0.0,92823.2907,998.0999,0.0,0.0,0.0,66872.69330000004,0.0,0.0,9138602.6844,962168.3036000001,0.09525691699604744,0.0,995105.6003,0,500,0,100,0
1990.6547945205384,10101769.0879,0.0,92823.2907,998.0999,0.0,0.0,0.0,66872.69330000004,0.0,0.0,9139600.784300001,962168.3036000001,0.09524750518723446,0.0,995105.6003,0,500,0,100,0
1990.6575342465658,10103765.287700001,0.0,92823.2907,1996.1998,0.0,0.0,0.0,66872.69330000004,0.0,0.0,9141596.984100001,962168.3036000001,0.09522868714807864,0.0,995105.6003,0,500,0,100,0
1990.6602739725931,10105761.4875,0.0,92823.2907,1996.1998,0.0,0.0,0.0,66872.69330000004,0.0,0.0,9143593.1839,962168.3036000001,0.09520987654320988,0.0,995105.6003,0,500,0,100,0
1990.6630136986205,10104763.387600001,998.0999,92823.2907,0.0,0.0,0.0,998.0999,67870.79320000004,9.877518767285657e-05,0.0,9142595.084,962168.3036000001,0.09521928091663374,0.0,995105.6003,0,500,0,100,0
